Purpose,Gender,Age,Maximum Buying Capacity(in 1000s),Product Type,Services
Small Organization,F,21.37,7,Laptop for Work,
Academic purpose,M,26.73,3,Laptop for Home,
Personal Use,M,54.01,10,Gaming Laptop,
Academic purpose,F,52.73,6,Desktops for Business,
Personal Use,M,23.81,9,Servers for Small Businesses,
Big Organization,F,55.36,2,Servers for Large Businesses,
Personal Use,F,59.67,1,Workstations for Professional Use,
Academic purpose,M,58.59,7,Laptop for Work,
Academic purpose,F,21.37,5,Laptop for Home,
Big Organization,F,43.68,5,Gaming Laptop,
Big Organization,F,47.46,3,Desktops for Business,
Academic purpose,M,43.67,7,Servers for Small Businesses,
Small organization,M,40.3,1,Servers for Large Businesses,
Gaming Purpose,F,33.04,10,Workstations for Professional Use,
Personal Use,M,38.44,5,Laptop for Work,
Big Organization,M,41.69,7,Laptop for Home,
Small Organization,M,33.13,6,Gaming Laptop,
Personal Use,F,25.15,5,Desktops for Business,
Personal Use,M,48.22,9,Servers for Small Businesses,
Big Organization,M,37.02,6,Servers for Large Businesses,
Big Organization,M,54.16,1,Workstations for Professional Use,
Big Organization,F,40.66,7,Laptop for Work,
Gaming Purpose,F,28.4,1,Laptop for Home,
Big Organization,F,23.17,3,Gaming Laptop,
Personal Use,M,44.93,7,Desktops for Business,
Small Organization,F,21.57,9,Servers for Small Businesses,
Small Organization,F,42.12,4,Servers for Large Businesses,
Big Organization,F,22.28,9,Workstations for Professional Use,
Gaming Purpose,F,48.78,7,Laptop for Work,
Small organization,F,45.79,2,Laptop for Home,
Big Organization,M,49.51,10,Gaming Laptop,
Personal Use,F,26.64,4,Desktops for Business,
Academic purpose,M,35.28,3,Servers for Small Businesses,
Small organization,F,34.62,1,Servers for Large Businesses,
Big Organization,F,44.24,4,Workstations for Professional Use,
Gaming Purpose,F,57.19,10,Laptop for Work,
Big Organization,F,36.81,4,Laptop for Home,
Small Organization,F,45.23,2,Gaming Laptop,
Big Organization,F,33.98,7,Desktops for Business,
Big Organization,F,26.97,4,Servers for Small Businesses,
Big Organization,F,50.96,8,Servers for Large Businesses,
Big Organization,M,56.21,10,Workstations for Professional Use,
Small Organization,M,59.93,7,Laptop for Work,
Small organization,M,33.72,1,Laptop for Home,
Small Organization,M,21.14,10,Gaming Laptop,
Personal Use,F,26.02,9,Desktops for Business,
Big Organization,M,21.27,4,Servers for Small Businesses,
Gaming Purpose,M,28.27,1,Servers for Large Businesses,
Big Organization,M,50.99,3,Workstations for Professional Use,
Big Organization,F,29.52,4,Laptop for Work,
Academic purpose,M,45.75,1,Laptop for Home,
Small Organization,M,29.12,3,Gaming Laptop,
Big Organization,F,33.92,1,Desktops for Business,
Small organization,M,43.46,6,Servers for Small Businesses,
Big Organization,M,41.08,10,Servers for Large Businesses,
Gaming Purpose,M,24.9,2,Workstations for Professional Use,
Personal Use,M,23.62,6,Laptop for Work,
Personal Use,F,43.98,10,Laptop for Home,
Big Organization,F,26.54,9,Gaming Laptop,
Small organization,M,32.88,5,Desktops for Business,
Personal Use,F,58.54,5,Servers for Small Businesses,
Small organization,F,26.11,1,Servers for Large Businesses,
Small organization,F,35.38,10,Workstations for Professional Use,
Small Organization,M,40.47,4,Laptop for Work,
Big Organization,F,25.39,10,Laptop for Home,
Big Organization,F,23.27,10,Gaming Laptop,
Personal Use,F,56.38,7,Desktops for Business,
Small Organization,F,24.73,5,Servers for Small Businesses,
Small organization,F,29.65,8,Servers for Large Businesses,
Small Organization,M,48.77,8,Workstations for Professional Use,
Small Organization,M,53.35,3,Laptop for Work,
Academic purpose,F,49.86,7,Laptop for Home,
Small Organization,F,25.06,10,Gaming Laptop,
Big Organization,F,37.31,4,Desktops for Business,
Personal Use,F,23.61,5,Servers for Small Businesses,
Big Organization,M,52.68,9,Servers for Large Businesses,
Personal Use,M,28.14,2,Workstations for Professional Use,
Small organization,F,59.48,9,Laptop for Work,
Small organization,F,56.48,3,Laptop for Home,
Academic purpose,M,57.16,5,Gaming Laptop,
Small organization,F,59.66,10,Desktops for Business,
Small organization,F,29.27,1,Servers for Small Businesses,
Gaming Purpose,M,40.8,7,Servers for Large Businesses,
Gaming Purpose,F,37.94,10,Workstations for Professional Use,
Small organization,M,47.16,8,Laptop for Work,
Big Organization,M,35.56,5,Laptop for Home,
Academic purpose,F,35.45,10,Gaming Laptop,
Small Organization,M,56.76,2,Desktops for Business,
Gaming Purpose,M,39.45,5,Servers for Small Businesses,
Gaming Purpose,M,49.59,8,Servers for Large Businesses,
Academic purpose,M,54.79,8,Workstations for Professional Use,
Personal Use,F,48.01,1,Laptop for Work,
Big Organization,F,31.09,8,Laptop for Home,
Big Organization,M,22.54,2,Gaming Laptop,
Small organization,F,49.23,2,Desktops for Business,
Gaming Purpose,F,33.24,5,Servers for Small Businesses,
Personal Use,M,59.95,8,Servers for Large Businesses,
Gaming Purpose,F,21.94,6,Workstations for Professional Use,
Big Organization,F,41.67,4,Laptop for Work,
Small Organization,M,23.63,7,Laptop for Home,
Gaming Purpose,M,31.6,10,Gaming Laptop,
Big Organization,M,56.23,3,Desktops for Business,
Small Organization,M,30.03,6,Servers for Small Businesses,
Big Organization,M,39.5,1,Servers for Large Businesses,
Gaming Purpose,M,50.92,5,Workstations for Professional Use,
Big Organization,F,55.24,2,Laptop for Work,
Big Organization,F,45.75,10,Laptop for Home,
Small Organization,M,51.79,2,Gaming Laptop,
Personal Use,F,51.56,3,Desktops for Business,
Big Organization,M,45.68,6,Servers for Small Businesses,
Academic purpose,F,56.3,2,Servers for Large Businesses,
Small organization,M,40.62,5,Workstations for Professional Use,
Small Organization,M,49.4,1,Laptop for Work,
Academic purpose,F,53.67,9,Laptop for Home,
Big Organization,M,23.63,7,Gaming Laptop,
Gaming Purpose,F,53.73,9,Desktops for Business,
Small organization,F,45.12,9,Servers for Small Businesses,
Small Organization,M,46.2,6,Servers for Large Businesses,
Small organization,M,40.75,3,Workstations for Professional Use,
Personal Use,M,30.98,3,Laptop for Work,
Gaming Purpose,F,43.65,8,Laptop for Home,
Small Organization,F,28.66,3,Gaming Laptop,
Big Organization,F,39.14,2,Desktops for Business,
Gaming Purpose,F,57.92,2,Servers for Small Businesses,
Academic purpose,M,34.69,3,Servers for Large Businesses,
Academic purpose,M,25.33,6,Workstations for Professional Use,
Small organization,M,42.33,3,Laptop for Work,
Small Organization,M,34.2,3,Laptop for Home,
Academic purpose,F,51.19,8,Gaming Laptop,
Big Organization,F,59.88,4,Desktops for Business,
Personal Use,M,29.35,8,Servers for Small Businesses,
Gaming Purpose,F,44.12,5,Servers for Large Businesses,
Big Organization,F,32.9,6,Workstations for Professional Use,
Personal Use,M,57.87,6,Laptop for Work,
Small Organization,F,32.26,9,Laptop for Home,
Personal Use,M,25.13,9,Gaming Laptop,
Academic purpose,F,40.79,6,Desktops for Business,
Big Organization,F,22.25,2,Servers for Small Businesses,
Big Organization,F,38.61,2,Servers for Large Businesses,
Gaming Purpose,M,21.31,3,Workstations for Professional Use,
Personal Use,M,42.64,10,Laptop for Work,
Personal Use,M,52.87,10,Laptop for Home,
Personal Use,F,49.99,3,Gaming Laptop,
Big Organization,F,46.89,8,Desktops for Business,
Academic purpose,F,49.47,10,Servers for Small Businesses,
Gaming Purpose,M,53.96,7,Servers for Large Businesses,
Small Organization,M,23.48,3,Workstations for Professional Use,
Gaming Purpose,F,27.73,4,Laptop for Work,
Big Organization,F,57.07,9,Laptop for Home,
Big Organization,F,26.64,3,Gaming Laptop,
Gaming Purpose,F,47.22,8,Desktops for Business,
Big Organization,M,54.84,8,Servers for Small Businesses,
Small Organization,F,26.49,6,Servers for Large Businesses,
Academic purpose,M,49.43,1,Workstations for Professional Use,
Gaming Purpose,F,47.82,8,Laptop for Work,
Big Organization,F,52.87,9,Laptop for Home,
Personal Use,M,59.57,8,Gaming Laptop,
Gaming Purpose,M,24.72,1,Desktops for Business,
Big Organization,F,43.92,5,Servers for Small Businesses,
Gaming Purpose,M,33.6,4,Servers for Large Businesses,
Academic purpose,M,28.39,9,Workstations for Professional Use,
Small organization,M,49.33,7,Laptop for Work,
Small Organization,F,48.69,7,Laptop for Home,
Gaming Purpose,M,37.46,7,Gaming Laptop,
Big Organization,M,23.8,3,Desktops for Business,
Personal Use,M,43.93,5,Servers for Small Businesses,
Personal Use,F,50.29,9,Servers for Large Businesses,
Big Organization,F,36.02,3,Workstations for Professional Use,
Academic purpose,F,23.92,5,Laptop for Work,
Big Organization,F,45.59,2,Laptop for Home,
Big Organization,F,31.42,7,Gaming Laptop,
Gaming Purpose,M,29.49,9,Desktops for Business,
Small organization,F,30.64,6,Servers for Small Businesses,
Personal Use,F,32.29,9,Servers for Large Businesses,
Gaming Purpose,F,27.79,5,Workstations for Professional Use,
Small organization,F,27.22,7,Laptop for Work,
Big Organization,F,50.11,6,Laptop for Home,
Gaming Purpose,M,59.39,7,Gaming Laptop,
Big Organization,F,30.61,3,Desktops for Business,
Academic purpose,M,28.21,3,Servers for Small Businesses,
Academic purpose,F,34.24,3,Servers for Large Businesses,
Small organization,M,45.13,1,Workstations for Professional Use,
Small organization,M,45.13,3,Laptop for Work,
Personal Use,F,40.58,9,Laptop for Home,
Big Organization,F,56.22,4,Gaming Laptop,
Small Organization,M,24.15,8,Desktops for Business,
Gaming Purpose,F,32.08,2,Servers for Small Businesses,
Academic purpose,F,23.09,4,Servers for Large Businesses,
Academic purpose,F,57,1,Workstations for Professional Use,
Gaming Purpose,F,49.98,4,Laptop for Work,
Personal Use,F,44.25,4,Laptop for Home,
Personal Use,M,21.68,3,Gaming Laptop,
Gaming Purpose,F,59.78,10,Desktops for Business,
Big Organization,M,58.55,9,Servers for Small Businesses,
Small Organization,F,50.92,4,Servers for Large Businesses,
Big Organization,F,32.89,3,Workstations for Professional Use,
Small Organization,F,33.55,6,Laptop for Work,
Gaming Purpose,F,43.66,2,Laptop for Home,
Personal Use,M,35.38,7,Gaming Laptop,
Gaming Purpose,M,23.41,7,Desktops for Business,
Personal Use,F,29.55,5,Servers for Small Businesses,
Big Organization,F,37.51,6,Servers for Large Businesses,
Small Organization,M,53.45,9,Workstations for Professional Use,
Academic purpose,F,27.58,1,Laptop for Work,
Gaming Purpose,M,44.8,10,Laptop for Home,
Big Organization,M,52.2,5,Gaming Laptop,
Personal Use,F,57.97,5,Desktops for Business,
Big Organization,F,49.87,5,Servers for Small Businesses,
Small Organization,F,41.56,10,Servers for Large Businesses,
Big Organization,M,21.21,6,Workstations for Professional Use,
Small organization,F,35.27,8,Laptop for Work,
Gaming Purpose,M,45.41,9,Laptop for Home,
Big Organization,M,44.89,10,Gaming Laptop,
Small Organization,M,52.92,2,Desktops for Business,
Big Organization,M,24.72,5,Servers for Small Businesses,
Small organization,F,56.43,1,Servers for Large Businesses,
Gaming Purpose,M,45.08,6,Workstations for Professional Use,
Personal Use,M,21.08,5,Laptop for Work,
Gaming Purpose,F,21.19,2,Laptop for Home,
Small organization,M,36.85,1,Gaming Laptop,
Big Organization,F,56.21,2,Desktops for Business,
Small Organization,M,52.35,4,Servers for Small Businesses,
Small organization,F,33.58,7,Servers for Large Businesses,
Small Organization,M,27.7,10,Workstations for Professional Use,
Small Organization,F,57.62,8,Laptop for Work,
Personal Use,M,38.78,3,Laptop for Home,
Small Organization,M,26.3,1,Gaming Laptop,
Small Organization,F,59.67,3,Desktops for Business,
Small Organization,F,52.41,8,Servers for Small Businesses,
Small organization,M,47.31,5,Servers for Large Businesses,
Small organization,M,55.78,1,Workstations for Professional Use,
Personal Use,M,55.55,7,Laptop for Work,
Personal Use,F,47.95,7,Laptop for Home,
Small organization,F,27.26,6,Gaming Laptop,
Small Organization,F,55.95,1,Desktops for Business,
Academic purpose,M,44.82,3,Servers for Small Businesses,
Academic purpose,F,36.38,9,Servers for Large Businesses,
Gaming Purpose,M,24.84,10,Workstations for Professional Use,
Academic purpose,M,52.76,3,Laptop for Work,
Small Organization,F,27.08,6,Laptop for Home,
Big Organization,F,53.1,4,Gaming Laptop,
Small organization,M,46.67,6,Desktops for Business,
Academic purpose,M,27.69,9,Servers for Small Businesses,
Academic purpose,F,30.57,3,Servers for Large Businesses,
Personal Use,M,40.27,4,Workstations for Professional Use,
Small Organization,M,40.25,2,Laptop for Work,
Personal Use,M,54.24,4,Laptop for Home,
Personal Use,M,53.67,8,Gaming Laptop,
Big Organization,F,22.32,10,Desktops for Business,
Small Organization,M,30.46,7,Servers for Small Businesses,
Gaming Purpose,M,44.38,5,Servers for Large Businesses,
Gaming Purpose,M,45.39,3,Workstations for Professional Use,
Gaming Purpose,M,47.46,9,Laptop for Work,
Personal Use,F,22.08,6,Laptop for Home,
Academic purpose,F,41.16,3,Gaming Laptop,
Academic purpose,M,41.92,7,Desktops for Business,
Small Organization,M,51.15,8,Servers for Small Businesses,
Gaming Purpose,F,58.29,8,Servers for Large Businesses,
Small Organization,F,43.09,9,Workstations for Professional Use,
Small Organization,F,30.03,8,Laptop for Work,
Big Organization,M,31.62,3,Laptop for Home,
Academic purpose,M,45.14,10,Gaming Laptop,
Small Organization,M,23.73,10,Desktops for Business,
Big Organization,F,44.69,5,Servers for Small Businesses,
Gaming Purpose,M,30.35,9,Servers for Large Businesses,
Big Organization,M,44.08,10,Workstations for Professional Use,
Academic purpose,M,29.15,2,Laptop for Work,
Big Organization,M,32.47,4,Laptop for Home,
Small Organization,F,34.62,1,Gaming Laptop,
Academic purpose,M,57.47,10,Desktops for Business,
Gaming Purpose,M,41.42,3,Servers for Small Businesses,
Big Organization,F,27.11,5,Servers for Large Businesses,
Personal Use,F,35.95,4,Workstations for Professional Use,
Small Organization,M,48.03,2,Laptop for Work,
Small organization,F,37.15,2,Laptop for Home,
Gaming Purpose,F,51.96,2,Gaming Laptop,
Personal Use,M,49.62,4,Desktops for Business,
Big Organization,M,36.38,3,Servers for Small Businesses,
Big Organization,M,45.93,10,Servers for Large Businesses,
Big Organization,F,22.53,9,Workstations for Professional Use,
Big Organization,M,56.2,9,Laptop for Work,
Personal Use,M,42.55,1,Laptop for Home,
Personal Use,F,52.91,10,Gaming Laptop,
Big Organization,F,38.97,8,Desktops for Business,
Big Organization,F,21.01,6,Servers for Small Businesses,
Personal Use,F,27.42,2,Servers for Large Businesses,
Academic purpose,F,57.22,10,Workstations for Professional Use,
Academic purpose,F,54.57,4,Laptop for Work,
Big Organization,F,30.63,8,Laptop for Home,
Small organization,F,29.31,2,Gaming Laptop,
Small organization,F,52.52,3,Desktops for Business,
Small Organization,F,51.25,4,Servers for Small Businesses,
Personal Use,M,39.43,7,Servers for Large Businesses,
Big Organization,F,27.39,7,Workstations for Professional Use,
Big Organization,F,46.49,10,Laptop for Work,
Big Organization,F,59.08,9,Laptop for Home,
Small Organization,F,45.02,7,Gaming Laptop,
Gaming Purpose,F,39.24,1,Desktops for Business,
Small Organization,M,41.32,1,Servers for Small Businesses,
Small Organization,F,58.78,3,Servers for Large Businesses,
Gaming Purpose,M,29.78,9,Workstations for Professional Use,
Small organization,M,23.33,9,Laptop for Work,
Small organization,F,53.2,2,Laptop for Home,
Personal Use,F,40.19,8,Gaming Laptop,
Academic purpose,M,58.37,5,Desktops for Business,
Personal Use,F,54.53,5,Servers for Small Businesses,
Big Organization,F,53.87,8,Servers for Large Businesses,
Personal Use,F,21.81,6,Workstations for Professional Use,
Small organization,M,24.2,5,Laptop for Work,
Big Organization,M,31.56,6,Laptop for Home,
Small organization,M,29.06,10,Gaming Laptop,
Personal Use,F,31.26,4,Desktops for Business,
Big Organization,M,58.96,1,Servers for Small Businesses,
Small organization,M,47.58,3,Servers for Large Businesses,
Personal Use,M,37.02,6,Workstations for Professional Use,
Small organization,M,46.82,9,Laptop for Work,
Academic purpose,M,45.09,1,Laptop for Home,
Small Organization,M,58.62,5,Gaming Laptop,
Personal Use,F,33.03,8,Desktops for Business,
Big Organization,M,55.9,6,Servers for Small Businesses,
Small organization,F,25.31,9,Servers for Large Businesses,
Gaming Purpose,F,59.09,6,Workstations for Professional Use,
Big Organization,M,44.85,7,Laptop for Work,
Gaming Purpose,F,35.56,2,Laptop for Home,
Gaming Purpose,F,27.09,10,Gaming Laptop,
Small Organization,M,23.31,4,Desktops for Business,
Small Organization,F,36.3,8,Servers for Small Businesses,
Small Organization,F,49.98,5,Servers for Large Businesses,
Big Organization,M,43.19,8,Workstations for Professional Use,
